n,m,ns
2,1,33592
2,1,15224
2,1,13688
2,1,13688
2,1,13269
2,1,13060
2,1,13059
2,1,13129
2,1,13059
2,1,13409
2,1,13409
2,1,13548
2,1,13060
2,1,12850
2,1,13269
2,1,13059
2,1,12850
2,1,13060
2,1,12989
2,1,12920
2,1,13060
2,1,12850
2,1,12920
2,1,13408
2,1,13548
2,1,34500
2,1,12850
2,1,12990
2,1,13199
2,1,12990
2,1,13060
2,1,13199
2,1,13130
2,1,13199
2,1,12920
2,1,14247
2,1,12850
2,1,12780
2,1,13059
2,1,12920
2,1,13130
2,1,12850
2,1,12990
2,1,12920
2,1,13060
2,1,13129
2,1,13269
2,1,13059
2,1,12850
2,1,12920
2,1,12990
2,1,13338
2,1,13339
2,1,12920
2,1,13060
2,1,12850
2,1,13129
2,1,13409
2,1,13338
2,1,12990
2,1,13618
2,1,13129
2,1,13270
2,1,12920
2,1,13478
2,1,13060
2,1,13130
2,1,13269
2,1,12989
2,1,12990
2,1,12989
2,1,13060
2,1,13898
2,1,12850
2,1,13479
2,1,12920
2,1,12850
2,1,13339
2,1,13199
2,1,12990
2,1,13339
2,1,12850
2,1,13479
2,1,12920
2,1,14526
2,1,12989
2,1,13059
2,1,13688
2,1,12920
2,1,13060
2,1,12780
2,1,12990
2,1,13548
2,1,13688
2,1,12920
2,1,13270
2,1,13548
2,1,12780
2,1,12990
2,1,12990
3,3,39179
3,3,34919
3,3,35897
3,3,32963
3,3,32544
3,3,32683
3,3,32824
3,3,32335
3,3,32544
3,3,32684
3,3,32055
3,3,33871
3,3,32335
3,3,32684
3,3,32404
3,3,32614
3,3,33033
3,3,32894
3,3,32335
3,3,32545
3,3,33103
3,3,32614
3,3,32544
3,3,32753
3,3,32754
3,3,32754
3,3,31985
3,3,32265
3,3,32195
3,3,32335
3,3,32125
3,3,32475
3,3,31916
3,3,32544
3,3,32125
3,3,33103
3,3,32125
3,3,32405
3,3,31985
3,3,34779
3,3,32265
3,3,34151
3,3,34151
3,3,34221
3,3,33592
3,3,34291
3,3,33941
3,3,33662
3,3,34570
3,3,32614
3,3,32963
3,3,32683
3,3,32474
3,3,32195
3,3,32125
3,3,31915
3,3,32265
3,3,32195
3,3,32544
3,3,32265
3,3,32614
3,3,32265
3,3,57547
3,3,27097
3,3,26398
3,3,26398
3,3,26538
3,3,26538
3,3,27027
3,3,26539
3,3,26538
3,3,26748
3,3,26818
3,3,26748
3,3,26608
3,3,26887
3,3,27376
3,3,27027
3,3,27027
3,3,26678
3,3,26957
3,3,26259
3,3,26469
3,3,27027
3,3,26888
3,3,26608
3,3,26259
3,3,26958
3,3,27446
3,3,26748
3,3,26957
3,3,26888
3,3,26887
3,3,28633
3,3,27097
3,3,27028
3,3,26538
3,3,26468
3,3,26817
3,3,26748
4,6,62015
4,6,64600
4,6,65438
4,6,63203
4,6,60549
4,6,59013
4,6,58454
4,6,58664
4,6,60479
4,6,58524
4,6,58594
4,6,58663
4,6,59082
4,6,61596
4,6,59083
4,6,58873
4,6,60270
4,6,58803
4,6,61876
4,6,58035
4,6,60828
4,6,58733
4,6,58943
4,6,60479
4,6,59362
4,6,58664
4,6,60619
4,6,60479
4,6,60619
4,6,60968
4,6,59362
4,6,60130
4,6,58105
4,6,62156
4,6,58873
4,6,58175
4,6,58244
4,6,60479
4,6,60200
4,6,60340
4,6,58105
4,6,78009
4,6,59223
4,6,58873
4,6,59292
4,6,59012
4,6,59222
4,6,61248
4,6,58384
4,6,59153
4,6,62644
4,6,60898
4,6,60759
4,6,60828
4,6,60479
4,6,60689
4,6,57965
4,6,60200
4,6,59362
4,6,59781
4,6,59292
4,6,61178
4,6,61457
4,6,60689
4,6,61317
4,6,59292
4,6,60688
4,6,60619
4,6,58873
4,6,58174
4,6,59292
4,6,59991
4,6,60968
4,6,59641
4,6,61876
4,6,60829
4,6,58943
4,6,63064
4,6,59082
4,6,61526
4,6,59502
4,6,58663
4,6,60759
4,6,58943
4,6,59013
4,6,59711
4,6,59222
4,6,63203
4,6,58175
4,6,58454
4,6,60479
4,6,60269
4,6,60549
4,6,58663
4,6,61318
4,6,58873
4,6,58524
4,6,60759
4,6,59711
4,6,61108
5,10,150849
5,10,135415
5,10,136952
5,10,137510
5,10,134856
5,10,138208
5,10,133599
5,10,134368
5,10,131294
5,10,129129
5,10,133599
5,10,132202
5,10,135625
5,10,131713
5,10,131783
5,10,132411
5,10,134716
5,10,129549
5,10,132133
5,10,131504
5,10,138209
5,10,130456
5,10,131224
5,10,130107
5,10,133808
5,10,133460
5,10,133459
5,10,141701
5,10,131225
5,10,166004
5,10,111670
5,10,110692
5,10,110204
5,10,110553
5,10,110134
5,10,110553
5,10,114464
5,10,110204
5,10,111600
5,10,111251
5,10,113137
5,10,113416
5,10,109086
5,10,110972
5,10,112299
5,10,109994
5,10,111111
5,10,112159
5,10,111531
5,10,109924
5,10,111949
5,10,110623
5,10,111041
5,10,110623
5,10,111809
5,10,110763
5,10,114185
5,10,110902
5,10,110902
5,10,108946
5,10,114324
5,10,112787
5,10,109924
5,10,116070
5,10,109086
5,10,109086
5,10,111530
5,10,107899
5,10,110902
5,10,109924
5,10,111182
5,10,111810
5,10,112927
5,10,112857
5,10,110762
5,10,110902
5,10,112089
5,10,110483
5,10,109715
5,10,110343
5,10,111530
5,10,113695
5,10,112997
5,10,113905
5,10,115931
5,10,112089
5,10,115371
5,10,109854
5,10,112159
5,10,111880
5,10,109435
5,10,110413
5,10,109017
5,10,108877
5,10,111251
5,10,112509
5,10,113835
5,10,111740
5,10,114464
5,10,114812
6,15,242266
6,15,237866
6,15,241149
6,15,232279
6,15,232000
6,15,237099
6,15,233606
6,15,239264
6,15,240590
6,15,239054
6,15,238984
6,15,235841
6,15,237937
6,15,238216
6,15,238076
6,15,248551
6,15,220337
6,15,219639
6,15,220547
6,15,216496
6,15,220896
6,15,220546
6,15,219989
6,15,219429
6,15,216496
6,15,213004
6,15,216985
6,15,215099
6,15,215519
6,15,218801
6,15,213424
6,15,215938
6,15,220965
6,15,221245
6,15,212515
6,15,215449
6,15,214540
6,15,214750
6,15,218452
6,15,215658
6,15,213702
6,15,215170
6,15,216566
6,15,217753
6,15,215589
6,15,213703
6,15,213214
6,15,214471
6,15,217264
6,15,215309
6,15,217544
6,15,222432
6,15,216147
6,15,215309
6,15,215169
6,15,212446
6,15,216635
6,15,215867
6,15,214332
6,15,216286
6,15,219150
6,15,215308
6,15,215030
6,15,215449
6,15,214121
6,15,214611
6,15,215379
6,15,214750
6,15,216427
6,15,229765
6,15,200363
6,15,200573
6,15,200853
6,15,198897
6,15,200154
6,15,198478
6,15,200084
6,15,200782
6,15,205322
6,15,207348
6,15,206161
6,15,203786
6,15,205671
6,15,206929
6,15,206090
6,15,206649
6,15,201551
6,15,204414
6,15,208465
6,15,203646
6,15,200852
6,15,200992
6,15,201062
6,15,199596
6,15,206161
6,15,205252
6,15,206020
6,15,205182
6,15,204414
6,15,205532
7,21,433761
7,21,440534
7,21,438719
7,21,436484
7,21,430269
7,21,428243
7,21,443607
7,21,428941
7,21,430548
7,21,445842
7,21,443887
7,21,441443
7,21,470984
7,21,417000
7,21,420421
7,21,414276
7,21,416301
7,21,408200
7,21,399679
7,21,405896
7,21,407711
7,21,403032
7,21,411063
7,21,421330
7,21,413438
7,21,415533
7,21,407781
7,21,401426
7,21,403242
7,21,410504
7,21,402962
7,21,403032
7,21,412810
7,21,402403
7,21,401705
7,21,408409
7,21,401565
7,21,402893
7,21,405826
7,21,398632
7,21,402194
7,21,415114
7,21,375097
7,21,390042
7,21,385363
7,21,388156
7,21,392417
7,21,393604
7,21,388925
7,21,390043
7,21,393395
7,21,387109
7,21,397585
7,21,382080
7,21,374748
7,21,378659
7,21,383687
7,21,374539
7,21,393254
7,21,382361
7,21,388227
7,21,392347
7,21,399051
7,21,385992
7,21,386550
7,21,381452
7,21,374538
7,21,390252
7,21,392207
7,21,390391
7,21,377821
7,21,379287
7,21,388855
7,21,355264
7,21,359104
7,21,353238
7,21,361269
7,21,358196
7,21,353448
7,21,355403
7,21,361549
7,21,354496
7,21,357917
7,21,362526
7,21,354355
7,21,355193
7,21,358476
7,21,365948
7,21,366926
7,21,358755
7,21,357149
7,21,355683
7,21,358685
7,21,354425
7,21,363435
7,21,359314
7,21,352051
7,21,358336
7,21,359104
7,21,353029
8,28,817517
8,28,803829
8,28,800687
8,28,759482
8,28,752848
8,28,757248
8,28,756200
8,28,731477
8,28,758296
8,28,754315
8,28,758295
8,28,744258
8,28,727777
8,28,731967
8,28,729173
8,28,724844
8,28,725332
8,28,726100
8,28,730150
8,28,690972
8,28,689924
8,28,689645
8,28,689714
8,28,691949
8,28,695930
8,28,693206
8,28,689785
8,28,691880
8,28,692508
8,28,689854
8,28,692090
8,28,689785
8,28,719745
8,28,708641
8,28,691671
8,28,729382
8,28,657590
8,28,656193
8,28,657241
8,28,659895
8,28,654726
8,28,659964
8,28,654796
8,28,654936
8,28,655424
8,28,655145
8,28,664364
8,28,660733
8,28,655354
8,28,686851
8,28,681334
8,28,689715
8,28,681265
8,28,693626
8,28,653120
8,28,645019
8,28,651793
8,28,653190
8,28,627280
8,28,630563
8,28,628817
8,28,624347
8,28,654796
8,28,646206
8,28,652561
8,28,650536
8,28,655704
8,28,630493
8,28,624906
8,28,627000
8,28,624207
8,28,627001
8,28,626512
8,28,618970
8,28,623160
8,28,627280
8,28,623649
8,28,601719
8,28,601859
8,28,598577
8,28,599764
8,28,600951
8,28,598577
8,28,600044
8,28,597669
8,28,606119
8,28,596203
8,28,598577
8,28,597390
8,28,598367
8,28,602977
8,28,598787
8,28,593618
8,28,573296
8,28,572946
8,28,601719
8,28,599555
8,28,600533
8,28,599625
8,28,596063
9,36,1260078
9,36,1303865
9,36,1286755
9,36,1300164
9,36,1221109
9,36,1241361
9,36,1169428
9,36,1216569
9,36,1219292
9,36,1249323
9,36,1229350
9,36,1244714
9,36,1232142
9,36,1246110
9,36,1226206
9,36,1212937
9,36,1183536
9,36,1173060
9,36,1186609
9,36,1194710
9,36,1170127
9,36,1137862
9,36,1184723
9,36,1135069
9,36,1178786
9,36,1146731
9,36,1127526
9,36,1101477
9,36,1133183
9,36,1160559
9,36,1084017
9,36,1123476
9,36,1144427
9,36,1148058
9,36,1133812
9,36,1139049
9,36,1127176
9,36,1115653
9,36,1097077
9,36,1112930
9,36,1098684
9,36,1109857
9,36,1078849
9,36,1113349
9,36,1099800
9,36,1112022
9,36,1094982
9,36,1094702
9,36,1059575
9,36,1062857
9,36,1063066
9,36,1074938
9,36,1038832
9,36,1068164
9,36,1064672
9,36,1022071
9,36,1050355
9,36,1071307
9,36,1057060
9,36,1027240
9,36,973465
9,36,986175
9,36,1029544
9,36,1037505
9,36,1005171
9,36,1034083
9,36,1027938
9,36,994346
9,36,990994
9,36,981566
9,36,1011666
9,36,993857
9,36,992390
9,36,992321
9,36,991902
9,36,981495
9,36,989946
9,36,980868
9,36,991203
9,36,987641
9,36,987642
9,36,1001260
9,36,976816
9,36,959497
9,36,958798
9,36,970461
9,36,964805
9,36,972696
9,36,914592
9,36,951466
9,36,963338
9,36,968994
9,36,957542
9,36,927372
9,36,973604
9,36,939663
9,36,933727
9,36,915359
9,36,909075
9,36,899856
10,45,2092540
10,45,2086255
10,45,2050498
10,45,1949164
10,45,1964597
10,45,2038486
10,45,2026055
10,45,2026753
10,45,2026753
10,45,2020607
10,45,2027801
10,45,1982686
10,45,2001053
10,45,2028220
10,45,2027870
10,45,1982197
10,45,1918016
10,45,2032410
10,45,2020258
10,45,2005104
10,45,2027382
10,45,2013973
10,45,2029267
10,45,2020049
10,45,1963480
10,45,2025077
10,45,2025147
10,45,2035762
10,45,2032061
10,45,2011040
10,45,2027661
10,45,2032760
10,45,1991346
10,45,2032270
10,45,2027940
10,45,2021236
10,45,2014322
10,45,2031503
10,45,2026614
10,45,2038276
10,45,2008735
10,45,2015440
10,45,2010481
10,45,2014742
10,45,2025846
10,45,2023191
10,45,2032759
10,45,1925000
10,45,2036391
10,45,2032550
10,45,2010062
10,45,1985410
10,45,2024589
10,45,2035344
10,45,2004266
10,45,2042816
10,45,2031572
10,45,2030804
10,45,1982616
10,45,2035623
10,45,2025008
10,45,2020608
10,45,2030594
10,45,2027521
10,45,2038556
10,45,2009224
10,45,2005453
10,45,2027033
10,45,2038835
10,45,2028918
10,45,2028778
10,45,2016557
10,45,2009014
10,45,2025217
10,45,2034086
10,45,2023121
10,45,2037089
10,45,1980102
10,45,2025915
10,45,2029547
10,45,1926327
10,45,1996165
10,45,2029616
10,45,2031362
10,45,2010202
10,45,2035692
10,45,2026684
10,45,2021446
10,45,2028150
10,45,2026125
10,45,2023820
10,45,2028429
10,45,2028639
10,45,2030873
10,45,2032829
10,45,1970324
10,45,2035693
10,45,2028779
10,45,2006500
10,45,2011529
11,55,4310788
11,55,4311137
11,55,4350176
11,55,4424344
11,55,4462405
11,55,4422248
11,55,4344520
11,55,4444457
11,55,4422807
11,55,4413170
11,55,4425042
11,55,4377622
11,55,4348151
11,55,4460938
11,55,4428743
11,55,4402485
11,55,4440896
11,55,4365680
11,55,4381044
11,55,4306319
11,55,4348081
11,55,4414915
11,55,4226843
11,55,4254778
11,55,4430559
11,55,4405138
11,55,4414776
11,55,4367426
11,55,4401227
11,55,4417639
11,55,4287532
11,55,4409817
11,55,4403323
11,55,4314419
11,55,4387190
11,55,4414217
11,55,4419525
11,55,4420432
11,55,4375667
11,55,4320565
11,55,4354017
11,55,4389704
11,55,4401228
11,55,4401297
11,55,4387679
11,55,4426927
11,55,4417709
11,55,4368962
11,55,4421062
11,55,4437612
11,55,4308483
11,55,4336069
11,55,4414985
11,55,4378111
11,55,4237389
11,55,4419874
11,55,4408420
11,55,4413309
11,55,4261483
11,55,4359953
11,55,4368893
11,55,4397316
11,55,4410795
11,55,4407932
11,55,4361839
11,55,4356043
11,55,4263438
11,55,4284529
11,55,4416452
11,55,4418268
11,55,4416941
11,55,4397037
11,55,4386282
11,55,4421061
11,55,4401576
11,55,4299614
11,55,4162802
11,55,4405418
11,55,4415056
11,55,4399202
11,55,4361769
11,55,4405767
11,55,4359534
11,55,4390682
11,55,4408351
11,55,4367776
11,55,4400041
11,55,4337885
11,55,4370499
11,55,4421969
11,55,4411423
11,55,4405348
11,55,4391939
11,55,4318610
11,55,4400668
11,55,4279291
11,55,4332228
11,55,4401996
11,55,4401576
11,55,4395640
12,66,9517031
12,66,9390417
12,66,9673677
12,66,9598532
12,66,9652307
12,66,9514168
12,66,9617458
12,66,9635686
12,66,9473732
12,66,9695187
12,66,9483440
12,66,9567175
12,66,9545107
12,66,9527997
12,66,9684712
12,66,9560681
12,66,9570528
12,66,9551950
12,66,9456133
12,66,9688064
12,66,9513191
12,66,9576953
12,66,9431761
12,66,9466121
12,66,9727522
12,66,9505648
12,66,9611801
12,66,9602862
12,66,9485256
12,66,9555722
12,66,9592247
12,66,9455924
12,66,9457810
12,66,9623673
12,66,9523317
12,66,9599859
12,66,9424567
12,66,9547760
12,66,9591060
12,66,9586870
12,66,9669138
12,66,9587987
12,66,9520872
12,66,9696514
12,66,9674794
12,66,9714951
12,66,9654542
12,66,9603560
12,66,9596088
12,66,9498455
12,66,9627166
12,66,9417722
12,66,9647209
12,66,9594342
12,66,9495731
12,66,9443982
12,66,9503693
12,66,9598183
12,66,9739185
12,66,9483929
12,66,9441189
12,66,9548878
12,66,9485674
12,66,9510607
12,66,9654542
12,66,9489167
12,66,9724030
12,66,9504251
12,66,9609077
12,66,9613617
12,66,9452292
12,66,9422821
12,66,9567524
12,66,9567524
12,66,9520384
12,66,9535190
12,66,9387832
12,66,9533862
12,66,9404943
12,66,9579746
12,66,9481205
12,66,9645253
12,66,9667951
12,66,9532815
12,66,9673957
12,66,9604538
12,66,9489655
12,66,9659850
12,66,9558654
12,66,9692673
12,66,9597275
12,66,9521431
12,66,9562496
12,66,9581841
12,66,9593714
12,66,9592596
12,66,9508861
12,66,9674026
12,66,9503064
12,66,9735623
13,78,20867996
13,78,20631596
13,78,20766521
13,78,21157403
